Qual foi o principal resultado do estudo FORWARD (VX-880-101) em 2025 para pacientes com diabetes tipo 1?,83% dos participantes conseguiram suspender totalmente o uso de insulina.
Qual é a base biológica do tratamento VX-880 para diabetes tipo 1?,Infusão de ilhotas pancreáticas derivadas de células-tronco.
"Apesar do sucesso, qual é a limitação atual da terapia celular VX-880 para diabetes?",Ela ainda exige o uso contínuo de imunossupressores.
Qual o critério de hemoglobina glicada ($HbA1c$) para considerar a remissão do diabetes tipo 2?,"Valor abaixo de $5,7\%$, sem o uso de outros medicamentos."
Qual medicamento se destacou em 2025 por levar cerca de metade dos pacientes com diabetes tipo 2 à remissão?,Tirzepatida.
"Segundo as diretrizes da ADA de 2025, qual medicamento deixou de ser obrigatório como primeira opção para todos os casos de diabetes tipo 2?",Metformina.
Quando os medicamentos modernos devem ser priorizados no tratamento inicial do diabetes tipo 2?,Quando há risco cardiovascular ou renal identificado.
O que se espera que ocorra com os preços da semaglutida em 2026?,Redução de preços devido à expiração da patente.
"Qual a frequência de aplicação da insulina icodeca, aprovada pela Anvisa em 2025?",Uma aplicação por semana.
"Qual o objetivo da parceria entre Governo Federal, Fiocruz e empresas privadas iniciada em 2025?",Produzir insulina glargina $100\%$ nacional para o SUS.
Qual benefício ambiental e clínico o SUS buscou ao distribuir canetas reutilizáveis de insulina?,Melhorar a precisão das doses e reduzir o impacto ambiental.
A partir de que idade a Sociedade Brasileira de Diabetes passou a recomendar o rastreio do diabetes tipo 2 em 2025?,35 anos.
O que caracteriza o chamado 'diabetes tipo 5' reconhecido em 2025?,Associação com a desnutrição em jovens de baixo peso em países pobres.
"Quantas pessoas aproximadamente convivem com diabetes no Brasil, segundo dados de 2025?","Cerca de $16,6$ milhões de adultos."
Qual a proporção de brasileiros que convivem com diabetes mas não sabem do diagnóstico?,Uma em cada três pessoas.
Como a inteligência artificial atua nos sensores de glicose modernos?,Prevendo episódios de hipoglicemia antes que a crise se instale.
Qual a principal característica das novas bombas de insulina apresentadas no ATTD 2025?,"São menores, adesivas e funcionam de forma automatizada (pâncreas artificial)."
Como a IA auxilia no diagnóstico oftalmológico de pacientes diabéticos?,Detectando retinopatia diabética através de imagens do fundo do olho.
Qual marcador metabólico está sendo estudado através da análise de voz em 2025?,A análise da voz como possível indicador de alterações metabólicas.
O que define uma queimadura de primeiro grau?,"Afeta apenas a epiderme, é seca, sem bolhas e cura em 5 a 10 dias."
Qual a principal característica visual e clínica de uma queimadura de segundo grau?,"Presença de bolhas e áreas úmidas, atingindo a derme."
O que caracteriza a gravidade de uma queimadura de terceiro grau?,"Acomete toda a espessura da pele e tecidos subcutâneos, podendo exigir enxertos."
Qual a definição de uma queimadura de categoria 4?,Pele carbonizada com danos profundos que podem expor estruturas ósseas.
Quais são as três propriedades principais que tornam os hidrogéis populares no tratamento de queimaduras?,"Manutenção da umidade, resfriamento/alívio e desbridamento autolítico."
Por que o resfriamento imediato de uma queimadura (ex: água corrente) é benéfico?,"Elimina a energia térmica acumulada, reduzindo a propagação do dano tecidual."
Como os curativos de hidrogel auxiliam na prevenção de infecções em queimaduras?,Atuam como uma barreira física contra patógenos externos e mantêm o ambiente úmido.
Qual o mecanismo de ação das nanopartículas de prata ($Ag$) incorporadas em hidrogéis?,"Danos à membrana bacteriana, causando vazamento citoplasmático e morte celular."
Como as nanopartículas de óxido de zinco ($ZnO$) combatem as bactérias nos curativos?,Através da destruição da membrana e indução de estresse oxidativo no citoplasma.
O que são peptídeos antimicrobianos (AMPs)?,Cadeias curtas de aminoácidos catiônicos que destroem membranas bacterianas.
Qual a vantagem dos AMPs em relação aos antibióticos tradicionais?,São seguros e promissores no combate a bactérias resistentes a antibióticos.
Por que a quitosana é considerada um polímero antibacteriano natural?,Seus grupos amino carregados positivamente ligam-se às membranas bacterianas negativas.
Qual o papel do Fator de Crescimento Epidérmico ($EGF$) no tratamento de feridas?,"Atua como quimioatraente para macrófagos e fibroblastos, estimulando a divisão celular."
Como os hidrogéis auxiliam na eficácia de fatores de crescimento?,Retêm as substâncias no local da ferida por mais tempo devido à liberação lenta.
Qual a vantagem da técnica de spray de suspensão celular em grandes áreas queimadas?,Distribuição uniforme de células autólogas com cobertura até 100 vezes maior que a área doadora.
O que são 'hidrogéis inteligentes' no contexto de cicatrização?,"Materiais que respondem a estímulos como temperatura, pH ou presença de infecção."
Como um hidrogel sensível ao pH pode indicar uma infecção?,Mudando de cor em resposta à acidez gerada por biofilmes bacterianos (ex: $S. aureus$).
Qual o benefício do uso de células-tronco mesenquimais ($MSCs$) em queimaduras?,Redução do desenvolvimento de cicatrizes e supressão da inflamação.
Por que a matriz extracelular ($MEC$) é importante para a cicatrização?,Serve como âncora para a proliferação e migração das células na superfície da ferida.
Qual o principal desafio financeiro para a popularização dos curativos de hidrogel?,O custo mais elevado em comparação com os métodos de tratamento convencionais.
Qual a função do desbridamento autolítico promovido pelos hidrogéis?,Remoção natural de tecido morto através da manutenção de um ambiente úmido.
Que tipo de insulina o Brasil pretende produzir para reduzir a dependência externa?,Insulina glargina.
A tirzepatida foca em quais dois aspectos centrais para a remissão do diabetes tipo 2?,Perda de peso e metabolismo.
Qual a principal causa de morte em pacientes com queimaduras graves?,"Infecções, sepse e disfunção de múltiplos órgãos."
Como o hidrogel de dextrana auxilia na regeneração da pele em queimaduras profundas?,Facilitando a formação de novos vasos sanguíneos (revascularização) e estruturas epiteliais.
Qual a previsão de valor de mercado global para curativos de hidrogel até 2028?,"$1,1$ bilhão de dólares."
"No contexto hospitalar, qual a necessidade para o uso eficaz de curativos de hidrogel?",Treinamento específico dos profissionais de saúde para aplicação correta.
Por que o uso de hidrogéis é preferível às gazes tradicionais em termos de dor?,Causam menos dor e trauma durante as trocas de curativo por não aderirem secamente à ferida.
Qual a função da radiação UV no processo de bioimpressão de pele com hidrogel?,Curar (endurecer) o material após a impressão da mistura de células e fatores de crescimento.
Como o hidrogel carregado com óxido de prata ($Ag_{2}O$) libera o fármaco?,"De forma dependente da temperatura, sendo útil para tratar feridas inflamadas."
O que significa dizer que o tratamento do diabetes em 2025 tornou-se 'preditivo'?,Uso de tecnologia para antecipar crises de glicemia em vez de apenas reagir a elas.
Qual a analogia utilizada para descrever o novo paradigma do tratamento do diabetes em 2025?,"A de um carro autônomo, onde a ciência e a tecnologia guiam o trajeto de forma segura."
Qual o impacto da metformina nas novas diretrizes da ADA?,Ela perdeu o status de primeira opção obrigatória para todos os diabéticos tipo 2.
O que o estudo FORWARD demonstrou sobre episódios de hipoglicemia grave?,Nenhum paciente apresentou tais episódios durante o acompanhamento com a terapia celular.
Como os hidrogéis podem contribuir para a redução de resíduos médicos?,Através do desenvolvimento de designs biodegradáveis que exigem trocas menos frequentes.
Qual o principal objetivo da antecipação do rastreio de diabetes para os 35 anos?,Diagnóstico precoce diante do aumento global de casos.
Qual a principal vantagem da insulina semanal em comparação à diária?,Melhora a adesão ao tratamento e reduz o desgaste físico e emocional do paciente.
Hidrogéis com porosidade adequada auxiliam em qual processo vital da ferida?,Trocas gasosas (oxigenação) essenciais para a cicatrização.
O que o termo 'autólogo' significa no contexto de enxertos de pele?,Tecido ou células colhidos do próprio paciente para evitar rejeição imunológica.
Como os algoritmos de IA podem detectar complicações do diabetes sem exames invasivos?,Analisando imagens da retina ou padrões na voz do paciente.
Qual a relação entre o desabastecimento de insulina e a produção nacional no Brasil?,A produção $100\%$ nacional visa reduzir a dependência externa e evitar a falta do medicamento no SUS.